matricula,setor,nivel,idade,renda_mensal,horas_mes,produtividade,satisfacao,certificacao,data_admissao
VC4582,Fiscal,junior,39,4818.94,209.0,131.96,5.7,-,2022-01-04
VC4473,Fiscal,pleno,52,3172.45,145.8,63.21,9.1,-,2016-07-13
VC5019,Pessoal,senior,35,5584.06,172.7,132.83,6.9,-,2021-12-24
VC4655,Auditoria,junior,38,1597.76,144.9,98.99,8.0,-,2020-10-27
VC5063,Auditoria,junior,33,4757.0,156.6,88.1,7.3,-,2019-02-03
VC4883,Contabil,pleno,30,2776.59,157.6,100.55,6.1,CRC,2018-12-11
VC5046,Fiscal,junior,46,2471.9,,77.17,,-,2018-09-13
VC4216,Fiscal,junior,25,3713.28,170.4,107.59,3.1,-,2024-11-27
VC4510,Societario,pleno,37,3280.96,193.8,118.44,6.0,CRC,2020-03-10
VC4640,Contabil,junior,32,4576.97,144.9,87.02,6.2,-,2021-10-13
VC4591,Fiscal,junior,35,1651.12,154.3,86.64,8.0,-,2023-03-15
VC4957,Contabil,junior,34,3505.47,161.4,98.64,8.6,CRC,2015-03-04
VC4218,Pessoal,junior,20,2732.79,175.9,75.01,4.4,CRC,2022-01-07
VC4479,Contabil,junior,37,4107.46,160.0,85.48,9.7,-,2024-04-05
VC4712,Fiscal,senior,27,2371.22,170.0,102.75,7.4,-,2024-12-02
VC4260,Auditoria,pleno,40,10103.94,189.8,85.42,N/A,CNAI,2019-08-17
VC4550,Fiscal,junior,30,2510.97,178.3,99.93,,-,2016-07-10
VC4512,Pessoal,pleno,34,4542.79,166.0,111.49,9.2,CRC,2015-04-03
VC5085,Auditoria,junior,45,6072.58,146.0,79.55,7.0,CNAI,2024-10-28
VC4997,Contabil,junior,42,4965.8,206.9,124.07,5.7,-,2015-08-19
VC4299,Auditoria,junior,19,null,168.0,111.23,8.6,-,2023-10-27
VC4641,Fiscal,senior,29,4504.17,150.2,93.77,N/A,CNAI,2018-06-18
VC4288,Fiscal,pleno,49,n/a,158.3,110.7,,-,2023-11-10
VC4617,Contabil,pleno,36,878.26,187.3,104.73,N/A,CRC,2020-02-23
VC4856,Auditoria,pleno,40,8689.35,204.7,90.46,5.0,-,2019-05-27
VC4384,Pessoal,junior,37,4227.21,183.7,106.11,6.4,-,2018-09-17
VC4572,Auditoria,pleno,34,N/A,152.4,112.91,6.9,CRC,2015-04-28
VC4775,Pessoal,junior,24,4874.98,141.6,84.04,9.0,-,2019-11-22
VC4875,Pessoal,junior,24,5490.37,155.8,112.84,7.1,CNAI,2020-02-03
VC4407,Contabil,pleno,22,2689.47,137.6,99.85,7.2,CNAI,2024-07-20
VC4324,Societario,pleno,27,1184.47,183.3,84.54,7.9,CNAI,2020-07-01
VC4233,Societario,junior,30,7281.08,162.0,68.39,5.1,CNAI,2016-12-11
VC4601,Societario,junior,42,4009.39,137.0,93.93,8.8,-,2018-05-19
VC4477,Auditoria,pleno,19,1092.83,202.3,85.52,,-,2024-06-17
VC4613,Fiscal,pleno,34,6693.18,176.4,112.17,7.1,-,2017-01-08
VC4795,Auditoria,junior,48,2929.44,177.2,105.43,6.2,-,2019-05-24
VC4468,Pessoal,junior,26,2082.89,169.3,72.76,6.5,CRC,2023-04-10
VC4576,Fiscal,junior,40,5414.93,168.1,101.6,5.9,CRC,2023-06-28
VC5097,Pessoal,pleno,28,5506.56,163.3,100.34,10.0,CRC,2021-01-22
VC5094,Fiscal,senior,29,2985.86,136.3,82.62,8.8,-,2017-12-08
VC4649,Societario,pleno,44,1314.33,200.0,126.55,null,-,2016-08-13
VC4349,Contabil,junior,38,1704.52,183.3,90.55,4.3,-,2016-05-08
VC4692,Pessoal,pleno,25,17255.64,158.1,78.35,8.3,CNAI,2023-08-15
VC4962,Societario,senior,45,2861.38,164.5,100.75,7.6,CRC,2022-08-12
VC4768,Contabil,pleno,48,13254.23,,96.89,3.3,-,2017-06-24
VC4443,Contabil,junior,39,-,170.2,117.94,7.2,CRC,2015-10-18
VC4630,Pessoal,senior,38,16094.83,189.3,85.24,5.6,-,2019-11-18
VC4629,Fiscal,senior,34,5918.43,155.1,84.3,5.4,CRC,2015-11-20
VC4410,Contabil,junior,38,2856.54,132.4,82.54,n/a,CNAI,2015-09-27
VC4863,Auditoria,pleno,50,2210.81,152.2,94.08,N/A,-,2016-05-13
VC4255,Societario,pleno,44,5033.46,183.8,93.33,null,-,2015-03-06
VC5036,Pessoal,junior,29,5677.02,149.4,71.42,10.0,-,2015-02-28
VC4691,Pessoal,senior,29,909.16,171.8,113.92,7.7,CNAI,2017-02-07
VC4651,Societario,senior,44,1481.3,169.5,104.37,7.3,-,2019-12-12
VC4524,Societario,junior,32,5216.06,158.9,45.97,6.3,CNAI,2015-04-23
VC5048,Fiscal,senior,37,6936.74,200.4,105.5,8.8,CRC,2015-11-22
VC4986,Contabil,pleno,34,3845.59,160.2,81.45,8.3,CNAI,2023-12-17
VC4658,Pessoal,pleno,38,3231.73,151.1,89.0,6.9,-,2023-09-24
VC4609,Pessoal,junior,20,5778.62,162.9,92.91,7.6,-,2024-10-28
VC4222,Pessoal,pleno,26,null,192.8,128.07,7.3,-,2018-03-03
VC4350,Societario,senior,31,3887.12,170.2,114.13,8.0,CNAI,2022-01-23
VC4754,Contabil,junior,43,2537.87,187.8,98.68,6.2,-,2023-11-01
VC4329,Pessoal,pleno,45,1712.31,188.3,120.65,,-,2021-11-08
VC5068,Societario,junior,21,2379.15,132.4,85.48,N/A,CNAI,2015-07-27
VC4364,Pessoal,senior,36,2478.86,151.8,69.05,8.5,-,2016-01-23
VC4787,Auditoria,pleno,42,6409.62,185.9,85.21,10.0,CNAI,2015-09-25
VC4670,Auditoria,junior,30,2556.07,174.2,93.16,7.5,-,2021-02-19
VC4763,Auditoria,pleno,42,2502.83,189.3,104.23,8.3,CRC,2023-02-15
VC4476,Contabil,senior,42,8863.91,138.5,86.87,7.6,CNAI,2023-10-25
VC4515,Societario,pleno,39,9541.71,178.4,75.01,7.7,CNAI,2024-12-20
VC4440,Pessoal,senior,34,2394.09,214.5,141.14,10.0,CRC,2023-06-20
VC4749,Societario,senior,27,5815.87,162.7,81.77,6.5,-,2024-04-16
VC4860,Contabil,junior,47,3887.64,177.7,120.33,7.5,-,2017-11-27
VC4619,Auditoria,pleno,32,4110.42,177.2,87.16,7.4,CRC,2016-02-13
VC4782,Fiscal,junior,53,5212.37,186.8,122.61,4.8,-,2022-06-19
VC4383,Contabil,junior,35,3989.29,168.1,94.53,8.2,CNAI,2019-10-07
VC5031,Contabil,pleno,30,2529.21,178.0,82.54,6.6,CRC,2018-02-07
VC4877,Fiscal,junior,31,3369.27,155.1,91.19,8.2,-,2022-08-23
VC4281,Contabil,junior,35,1537.62,174.7,121.72,7.1,-,2017-05-12
VC4989,Auditoria,pleno,42,1668.01,138.7,49.97,8.4,-,2021-07-07
VC5045,Auditoria,senior,34,9402.75,145.4,47.4,NA,CNAI,2015-02-03
VC4750,Fiscal,pleno,40,3004.36,142.2,104.84,7.2,-,2022-07-18
VC4653,Pessoal,junior,28,4556.87,184.5,77.62,8.6,-,2021-08-10
VC4926,Contabil,senior,57,2412.87,156.8,97.06,7.9,CNAI,2023-09-08
VC4605,Contabil,pleno,26,1427.71,188.9,117.51,5.5,CNAI,2015-02-23
VC4887,Pessoal,junior,38,3683.63,168.9,114.42,5.5,-,2019-11-28
VC4531,Fiscal,pleno,36,6975.92,222.8,98.88,5.0,CRC,2021-12-18
VC4954,Pessoal,junior,34,5080.02,183.9,94.12,7.0,CNAI,2020-03-08
VC4889,Pessoal,junior,35,5311.21,190.3,116.61,8.2,-,2021-09-09
VC4944,Contabil,junior,56,2907.42,191.4,132.65,4.8,-,2022-09-08
VC5069,Contabil,junior,35,6368.04,179.0,113.75,5.1,CNAI,2020-11-11
VC4414,Contabil,junior,40,3296.4,173.3,70.7,n/a,-,2022-08-08
VC4297,Pessoal,pleno,41,2921.27,166.6,86.53,6.1,-,2017-05-24
VC4345,Auditoria,senior,26,5912.45,178.8,104.18,4.6,CNAI,2021-05-08
VC4248,Auditoria,senior,32,3701.23,144.1,80.89,7.3,CNAI,2024-10-16
VC4685,Societario,senior,28,7178.24,184.5,133.01,null,-,2015-04-03
VC4776,Societario,senior,26,3519.33,,125.28,5.7,-,2019-09-23
VC4590,Contabil,junior,34,1903.4,169.4,45.39,5.0,-,2017-06-08
VC4331,Contabil,junior,45,3053.81,143.5,70.35,9.0,-,2022-09-08
VC4328,Contabil,junior,21,N/A,166.7,81.73,8.4,-,2020-05-10
VC4201,Auditoria,junior,41,12991.52,166.4,80.85,4.8,-,2015-09-07
VC5043,Contabil,senior,36,2074.74,174.3,102.54,7.8,CRC,2016-06-09
VC4824,Auditoria,junior,33,11100.29,198.5,106.25,-,-,2018-01-09
VC4452,Contabil,senior,51,3747.51,179.6,113.91,4.4,CNAI,2017-12-11
VC5011,Auditoria,pleno,36,7160.26,154.6,94.76,7.3,CRC,2020-04-14
VC4739,Pessoal,junior,19,1665.23,179.7,89.08,9.8,-,2017-09-12
VC4236,Fiscal,pleno,38,2989.01,180.9,81.04,7.9,-,2023-06-06
VC4659,Societario,junior,22,3041.64,170.3,112.2,6.4,-,2015-10-22
VC4343,Auditoria,senior,30,1223.41,165.4,107.78,n/a,-,2017-11-09
VC5000,Pessoal,pleno,45,2194.41,181.4,101.67,7.1,CNAI,2018-09-26
VC4555,Pessoal,junior,41,n/a,178.7,137.01,6.7,-,2024-06-28
VC5071,Auditoria,junior,39,1985.45,149.9,87.28,6.6,-,2017-01-05
VC4621,Auditoria,junior,22,4264.15,123.3,79.6,4.6,-,2017-01-21
VC4369,Fiscal,senior,39,10173.88,168.7,108.18,5.3,-,2020-05-11
VC5078,Contabil,pleno,45,1540.8,148.3,72.88,5.1,-,2018-11-16
VC4362,Fiscal,junior,51,1968.9,202.0,109.32,9.9,CRC,2020-07-04
VC4353,Contabil,junior,38,1978.4,162.6,87.26,8.9,CNAI,2018-08-08
VC4604,Societario,pleno,40,8823.08,146.1,102.79,6.3,CNAI,2018-03-20
VC5006,Fiscal,pleno,50,4388.31,153.8,82.9,7.5,-,2017-07-15
VC4315,Contabil,pleno,28,1074.95,216.2,114.65,10.0,-,2020-03-20
VC4999,Societario,junior,19,2355.79,,80.01,5.1,CNAI,2019-11-11
VC4540,Auditoria,senior,40,6010.08,147.5,74.42,n/a,CRC,2022-10-17
VC4626,Pessoal,junior,41,3698.62,137.0,95.3,9.2,-,2015-06-04
VC4978,Auditoria,junior,51,2838.04,190.0,119.38,8.3,-,2021-02-09
VC5073,Fiscal,pleno,41,2402.79,161.5,94.82,,CNAI,2015-02-10
VC4784,Auditoria,junior,36,null,161.6,67.35,9.9,CNAI,2015-04-15
VC5060,Auditoria,pleno,37,2560.01,142.3,105.65,6.4,-,2021-04-11
VC4870,Societario,junior,29,2625.25,180.7,128.93,6.8,-,2016-04-05
VC4864,Pessoal,senior,59,,155.0,69.98,9.2,CRC,2022-11-16
VC4664,Fiscal,junior,49,4379.25,200.0,112.34,3.9,-,2020-02-27
VC4772,Pessoal,senior,37,1827.63,203.6,80.3,-,CRC,2015-11-08
VC4731,Fiscal,junior,33,5657.68,173.3,85.5,7.6,-,2022-02-24
VC4360,Auditoria,pleno,28,5857.97,144.0,111.39,7.5,CRC,2019-11-24
VC4631,Fiscal,pleno,33,5401.39,150.3,111.07,6.4,-,2016-09-01
VC4484,Contabil,senior,49,3480.17,161.4,91.76,n/a,CRC,2018-07-05
VC4506,Societario,junior,43,3600.14,168.6,75.44,5.0,-,2023-11-05
VC4242,Contabil,junior,26,2554.1,,94.37,8.6,-,2018-06-07
VC4612,Fiscal,junior,51,1518.67,126.1,101.04,6.6,CRC,2022-08-17
VC4608,Societario,junior,42,4035.44,161.9,112.67,7.1,-,2018-03-19
VC4696,Auditoria,senior,43,8161.04,142.3,79.44,9.6,-,2020-09-08
VC4930,Fiscal,junior,27,2542.39,154.6,97.36,7.0,CRC,2016-11-19
VC4323,Fiscal,junior,19,2025.69,148.6,71.84,-,-,2017-04-09
VC4988,Fiscal,senior,32,4781.18,176.6,82.97,8.2,CRC,2023-01-28
VC4314,Pessoal,junior,38,3216.38,166.8,106.15,9.3,CNAI,2016-10-03
VC4939,Fiscal,junior,37,-,178.8,96.89,7.9,CRC,2020-07-03
VC4304,Auditoria,junior,30,4465.21,175.5,117.53,8.8,-,2016-12-24
VC4300,Fiscal,senior,35,4435.26,192.5,124.42,5.8,-,2018-02-01
VC4995,Auditoria,senior,29,3617.15,133.4,86.26,9.2,CRC,2020-01-23
VC4704,Contabil,senior,46,3829.79,150.3,71.64,9.5,CNAI,2015-06-22
VC5076,Auditoria,pleno,46,6855.08,185.1,112.15,7.9,CNAI,2017-05-25
VC4292,Contabil,junior,35,3184.12,190.4,109.61,7.0,-,2016-08-09
VC4697,Societario,pleno,28,8729.19,197.4,96.37,4.9,CNAI,2017-02-22
VC4599,Societario,senior,31,3261.63,143.1,86.9,7.4,-,2023-03-15
VC4958,Contabil,junior,60,3185.53,161.2,77.91,8.9,-,2020-11-04
VC4758,Contabil,senior,41,2064.13,155.0,104.08,4.9,CNAI,2023-12-04
VC4956,Pessoal,senior,28,3395.2,193.6,98.91,7.0,-,2024-04-28
VC4246,Fiscal,senior,46,2777.53,202.3,89.97,8.4,-,2022-07-24
VC4694,Societario,pleno,51,9896.56,185.2,150.52,8.3,-,2018-05-16
VC4710,Societario,pleno,37,3552.19,155.8,118.75,7.7,-,2021-11-22
VC5002,Contabil,pleno,41,1187.28,141.0,77.91,7.4,CRC,2023-05-14
VC4686,Contabil,junior,23,6252.02,182.2,115.23,8.1,-,2017-01-10
VC4581,Pessoal,senior,27,2708.89,171.5,104.8,7.9,CRC,2023-01-27
VC4449,Fiscal,junior,19,5112.24,204.7,90.35,5.5,-,2015-05-21
VC4872,Societario,junior,42,3655.79,176.4,92.37,9.1,CRC,2019-07-14
VC4447,Fiscal,junior,19,3931.12,155.8,54.8,5.8,-,2022-02-24
VC4283,Auditoria,pleno,37,4785.06,167.6,76.64,8.3,CNAI,2023-08-08
VC4205,Contabil,junior,29,3891.5,173.4,115.14,4.7,CNAI,2019-07-05
VC4562,Auditoria,pleno,44,2470.62,161.8,86.12,8.6,-,2018-12-08
VC4996,Auditoria,junior,26,5036.62,,77.59,7.8,-,2018-01-15
VC4241,Auditoria,senior,39,5392.4,175.9,123.47,,-,2020-06-03
VC4214,Pessoal,junior,38,4240.46,209.7,150.18,5.7,-,2024-08-19
VC4538,Contabil,pleno,48,4327.11,146.3,86.72,8.8,-,2019-05-06
VC4209,Auditoria,junior,32,6505.56,190.2,90.34,-,-,2022-10-15
VC5081,Fiscal,junior,55,4678.5,156.3,108.42,n/a,-,2022-02-13
VC4885,Societario,senior,28,7251.23,178.1,119.85,5.4,CNAI,2020-06-07
VC4792,Pessoal,pleno,37,2272.91,187.9,102.42,7.2,-,2023-06-08
VC5030,Contabil,pleno,34,,173.3,69.5,7.7,CNAI,2015-07-19
VC4899,Pessoal,senior,58,2841.67,142.2,65.92,6.8,-,2017-03-25
VC4714,Pessoal,pleno,38,6006.66,173.4,114.21,N/A,CRC,2021-12-24
VC4623,Societario,senior,47,1674.09,218.1,94.71,7.9,CRC,2020-06-13
VC4577,Societario,junior,31,5953.26,164.1,82.63,8.5,CRC,2024-11-13
VC4223,Contabil,junior,41,3780.55,194.5,93.17,N/A,CNAI,2015-08-27
VC4751,Contabil,senior,39,n/a,136.3,99.89,4.8,-,2024-02-26
VC4756,Auditoria,junior,42,15645.56,230.2,132.29,3.8,-,2021-06-17
VC4815,Auditoria,junior,19,2518.3,151.1,88.74,8.8,-,2023-05-05
VC4779,Auditoria,senior,34,2744.0,163.9,82.47,8.9,-,2021-08-06
VC5098,Contabil,junior,40,1900.55,142.4,91.45,8.4,-,2018-02-16
VC4220,Societario,junior,21,5973.05,184.2,115.09,8.5,-,2021-09-09
VC4474,Fiscal,junior,34,1339.24,137.5,60.76,6.5,CRC,2020-04-10
VC4422,Pessoal,senior,22,5527.63,205.7,130.24,n/a,-,2022-03-09
VC5040,Auditoria,pleno,24,2306.59,183.7,87.29,5.5,CRC,2017-09-26
VC4245,Contabil,junior,23,2711.31,190.7,77.87,2.8,CNAI,2021-11-11
VC4865,Contabil,pleno,57,NA,149.8,84.99,6.0,CNAI,2015-11-05
VC4254,Auditoria,junior,36,7051.55,186.6,65.18,6.1,CNAI,2023-09-01
VC4262,Pessoal,senior,39,1242.88,206.2,114.87,9.8,CNAI,2022-03-14
VC4335,Societario,junior,52,4052.5,165.8,90.74,3.4,-,2018-07-09
VC4693,Contabil,junior,35,5374.69,156.7,99.38,10.0,-,2018-12-13
VC4818,Auditoria,junior,44,2489.44,161.3,86.46,7.3,CRC,2023-09-07
VC4753,Auditoria,pleno,34,null,136.0,102.88,N/A,-,2022-11-21
VC4593,Pessoal,pleno,24,2284.55,198.8,144.06,9.3,-,2020-03-09
VC4359,Fiscal,senior,32,NA,194.8,107.85,7.6,-,2018-03-21
VC5080,Pessoal,junior,39,5962.9,144.6,68.12,5.9,CRC,2022-08-16
VC4931,Contabil,junior,33,,175.5,128.31,6.7,-,2023-12-27
VC4947,Contabil,pleno,45,3323.98,138.5,65.47,9.3,-,2024-07-26
VC4911,Societario,senior,44,6679.81,160.3,92.26,6.4,CRC,2018-08-09
VC4579,Contabil,pleno,37,4362.32,162.2,75.78,7.6,-,2021-03-15
VC4960,Pessoal,pleno,36,5909.66,151.4,85.54,7.5,CRC,2023-10-11
VC4602,Contabil,junior,34,2719.19,178.4,101.92,5.5,CNAI,2023-04-23
VC4705,Pessoal,senior,34,2110.61,159.8,110.89,8.3,CRC,2022-04-28
VC4585,Pessoal,junior,48,,132.3,78.16,5.2,CRC,2020-08-13
VC4505,Contabil,junior,53,2230.99,169.7,82.23,6.3,-,2018-03-12
VC4347,Pessoal,pleno,37,2355.02,164.8,86.82,8.7,CNAI,2022-09-08
VC5026,Contabil,senior,38,5200.67,,79.98,4.2,-,2022-10-19
VC4566,Auditoria,pleno,20,4016.74,152.9,97.37,n/a,-,2023-06-16
VC4206,Auditoria,junior,39,3851.27,172.4,78.88,6.2,-,2023-11-06
VC4994,Contabil,senior,31,2093.63,159.1,80.17,5.9,-,2016-06-22
VC4706,Societario,junior,30,3326.1,151.2,99.27,6.5,CRC,2017-05-04
VC4234,Pessoal,junior,48,3452.0,174.8,108.47,8.3,CNAI,2023-01-07
VC4584,Pessoal,pleno,49,7855.18,161.1,129.84,10.0,-,2016-08-11
VC4857,Societario,senior,29,1935.81,209.2,121.49,null,-,2023-10-16
VC4698,Auditoria,junior,48,8561.26,189.9,79.38,n/a,-,2021-01-22
VC4333,Contabil,junior,23,4978.22,137.3,60.61,7.2,CNAI,2020-09-03
VC4489,Pessoal,pleno,34,4125.06,179.9,95.53,n/a,-,2015-12-08
VC4850,Fiscal,junior,48,5314.34,169.5,103.23,5.3,-,2015-12-02
VC4638,Contabil,pleno,23,4244.45,209.5,89.3,7.6,-,2022-09-10
VC4370,Auditoria,junior,31,6940.63,139.8,67.96,7.8,-,2019-05-01
VC4511,Societario,junior,46,2305.67,189.0,104.65,6.3,-,2020-03-17
VC4537,Fiscal,junior,29,3387.91,196.3,100.75,6.0,CRC,2015-06-28
VC5067,Societario,pleno,33,2775.86,181.7,127.6,4.6,CNAI,2022-12-04
VC5050,Pessoal,junior,44,5721.08,173.0,85.4,6.4,CNAI,2019-05-28
VC4720,Contabil,senior,32,2407.51,155.9,74.78,8.6,CNAI,2023-05-08
VC4951,Societario,pleno,37,4095.27,165.4,94.51,6.7,-,2020-02-09
VC4827,Contabil,senior,57,2976.22,163.2,96.57,,CNAI,2022-05-25
VC4466,Societario,junior,31,4890.46,151.8,105.7,6.9,-,2016-06-16
VC4386,Fiscal,junior,49,6804.15,208.2,104.53,5.9,CNAI,2022-06-02
VC4340,Fiscal,junior,48,5753.73,179.6,100.74,5.8,-,2022-08-08
VC4845,Fiscal,pleno,43,2832.13,172.4,78.24,5.2,-,2019-09-11
VC4570,Societario,junior,37,3458.46,,100.9,9.7,CRC,2020-11-15
VC4740,Pessoal,junior,39,3362.45,,75.52,4.1,CRC,2016-10-26
VC4365,Societario,junior,32,1067.64,142.0,72.36,5.2,-,2022-04-11
VC5013,Contabil,pleno,40,3447.09,170.4,83.47,8.1,-,2020-05-04
VC4662,Auditoria,junior,21,1927.72,132.9,68.85,7.6,CNAI,2021-08-13
VC4842,Contabil,pleno,32,3257.93,173.7,99.42,5.8,-,2017-01-09
VC4346,Auditoria,junior,50,3002.26,147.1,99.92,8.3,-,2019-08-09
VC4699,Auditoria,junior,28,3598.73,155.4,111.33,6.5,CRC,2021-12-03
VC4551,Pessoal,pleno,33,2832.41,181.4,106.14,7.6,CNAI,2022-10-02
VC4748,Contabil,senior,39,9306.79,176.6,73.3,-,CNAI,2021-05-01
VC4481,Pessoal,pleno,28,2334.41,190.9,64.68,5.6,-,2017-12-05
VC4529,Pessoal,senior,57,,136.0,94.27,4.8,-,2018-11-16
VC5015,Societario,pleno,54,3986.24,140.5,65.83,7.3,-,2016-03-12
VC4811,Contabil,junior,42,9263.8,144.1,94.41,3.9,-,2016-06-27
VC4492,Pessoal,junior,47,2771.03,151.9,78.51,9.7,CRC,2021-04-26
VC5041,Societario,junior,34,2469.29,180.4,103.74,null,CNAI,2021-02-20
VC4979,Societario,junior,23,5600.95,186.0,118.16,8.9,-,2023-05-28
VC4404,Contabil,pleno,56,3247.27,185.3,117.95,null,CRC,2016-07-16
VC4387,Pessoal,junior,44,1122.53,198.2,95.86,8.0,CRC,2018-10-27
VC5020,Societario,junior,37,1768.78,168.8,96.89,4.4,-,2017-03-01
VC4559,Fiscal,junior,37,1848.02,126.2,57.85,N/A,-,2021-03-19
VC4797,Fiscal,pleno,35,5481.05,147.2,79.05,7.9,-,2024-06-15
